Company Name,Market Cap (crores),Share Price (rupees),Golden Cross Date
COROMANDEL INTERNTL. LTD,64198.7444736,2179.0,2025-10-14
AVANTI FEEDS LIMITED,9416.6171648,691.15,2025-07-29
AVANTI FEEDS LIMITED,9416.6171648,691.15,2025-09-29
BALAJI AMINES LIMITED,4543.9164416,1402.4,2025-07-22
DIVI S LABORATORIES LTD,175780.0169472,6587.0,2025-09-09
DIVI S LABORATORIES LTD,175780.0169472,6587.0,2025-09-25
SONA BLW PRECISION FRGS L,28735.946752,461.95,2025-08-01
SONA BLW PRECISION FRGS L,28735.946752,461.95,2025-09-04
PB FINTECH LIMITED,75839.2619008,1636.4,2025-09-03
GLOBAL HEALTH LIMITED,37407.7620224,1392.5,2025-09-12
WIPRO LTD,252761.3681664,241.36,2025-09-12
WIPRO LTD,252761.3681664,241.36,2025-09-26
CAPLIN POINT LAB LTD.,15429.6139776,2029.9,2025-08-04
CAPLIN POINT LAB LTD.,15429.6139776,2029.9,2025-09-29
3M INDIA LIMITED,33558.642688,29790.0,2025-08-20
3M INDIA LIMITED,33558.642688,29790.0,2025-09-10
INDUSIND BANK LIMITED,59089.0205184,758.45,2025-07-25
C.E. INFO SYSTEMS LIMITED,10119.6775424,1849.3,2025-08-05
CHALET HOTELS LIMITED,21337.1355136,948.35,2025-08-05
CHALET HOTELS LIMITED,21337.1355136,948.35,2025-09-26
HAVELLS INDIA LIMITED,93489.5484928,1484.1,2025-07-28
HAVELLS INDIA LIMITED,93489.5484928,1484.1,2025-07-31
HAVELLS INDIA LIMITED,93489.5484928,1484.1,2025-09-25
GUJARAT FLUOROCHEM LTD,41249.7739776,3755.1,2025-08-12
GUJARAT FLUOROCHEM LTD,41249.7739776,3755.1,2025-10-07
BRITANNIA INDUSTRIES LTD,146450.3369728,6075.0,2025-09-25
SAPPHIRE FOODS INDIA LTD,9466.3335936,294.55,2025-07-31
SAPPHIRE FOODS INDIA LTD,9466.3335936,294.55,2025-09-22
NUVOCO VISTAS CORP LTD,15080.9182208,422.25,2025-09-11
L&T FINANCE LIMITED,66994.0973568,267.85,2025-07-22
L&T FINANCE LIMITED,66994.0973568,267.85,2025-08-01
BRIGADE ENTER. LTD,23986.2317056,980.85,2025-07-25
BRIGADE ENTER. LTD,23986.2317056,980.85,2025-09-25
CG POWER AND IND SOL LTD,119358.9211136,739.0,2025-07-28
CG POWER AND IND SOL LTD,119358.9211136,739.0,2025-08-14
CG POWER AND IND SOL LTD,119358.9211136,739.0,2025-09-30
KAJARIA CERAMICS LTD,19800.7308288,1217.4,2025-07-31
KAJARIA CERAMICS LTD,19800.7308288,1217.4,2025-09-01
ONE 97 COMMUNICATIONS LTD,83608.0697344,1308.2,2025-09-15
AJANTA PHARMA LIMITED,30579.245056,2447.6,2025-08-06
BANDHAN BANK LIMITED,26740.514816,165.99,2025-07-29
BANDHAN BANK LIMITED,26740.514816,165.99,2025-09-02
IDFC FIRST BANK LIMITED,62582.5677312,76.77,2025-09-01
IDFC FIRST BANK LIMITED,62582.5677312,76.77,2025-09-25
MAZAGON DOCK SHIPBUIL LTD,114225.1061248,2831.7,2025-10-03
TATA CHEMICALS LTD,23256.7013376,912.9,2025-08-13
TATA CHEMICALS LTD,23256.7013376,912.9,2025-09-30
MASTEK LTD,6452.3395072,2065.0,2025-07-30
MASTEK LTD,6452.3395072,2065.0,2025-08-13
MASTEK LTD,6452.3395072,2065.0,2025-09-01
MASTEK LTD,6452.3395072,2065.0,2025-09-04
APOLLO TYRES LTD,32631.5278336,515.15,2025-07-24
APOLLO TYRES LTD,32631.5278336,515.15,2025-10-01
FIVE-STAR BUS FIN LTD,15782.3582208,535.95,2025-10-10
SAREGAMA INDIA LIMITED,8759.7408256,455.85,2025-07-29
SAREGAMA INDIA LIMITED,8759.7408256,455.85,2025-09-23
THE INDIAN HOTELS CO. LTD,105938.944,744.25,2025-07-31
THE INDIAN HOTELS CO. LTD,105938.944,744.25,2025-09-04
THE INDIAN HOTELS CO. LTD,105938.944,744.25,2025-09-12
THE INDIAN HOTELS CO. LTD,105938.944,744.25,2025-09-24
PVR INOX LIMITED,11341.1137536,1154.9,2025-08-01
PVR INOX LIMITED,11341.1137536,1154.9,2025-09-22
AVENUE SUPERMARTS LIMITED,279854.2651392,4274.5,2025-09-15
STAR HEALTH & AL INS CO L,29667.950592,495.6,2025-08-11
NMDC STEEL LIMITED,12894.6659328,44.0,2025-10-07
NMDC STEEL LIMITED,12894.6659328,44.0,2025-10-13
HIMADRI SPECIALITY CHEM L,23134.142464,467.85,2025-07-29
HIMADRI SPECIALITY CHEM L,23134.142464,467.85,2025-08-29
HIMADRI SPECIALITY CHEM L,23134.142464,467.85,2025-09-29
OIL AND NATURAL GAS CORP.,312141.8862592,248.12,2025-07-29
OIL AND NATURAL GAS CORP.,312141.8862592,248.12,2025-08-28
OIL AND NATURAL GAS CORP.,312141.8862592,248.12,2025-09-10
ATUL LTD,17656.2208768,5997.0,2025-09-25
R R KABEL LIMITED,14301.0725888,1263.7,2025-08-04
ALKYL AMINES CHEM. LTD,9823.4793984,1909.3,2025-09-25
HDFC AMC LIMITED,122166.181888,5707.5,2025-08-13
HDFC AMC LIMITED,122166.181888,5707.5,2025-09-03
HDFC AMC LIMITED,122166.181888,5707.5,2025-09-30
ADANI PORT & SEZ LTD,319484.5659136,1473.5,2025-07-24
ADANI PORT & SEZ LTD,319484.5659136,1473.5,2025-10-07
AWL AGRI BUSINESS LIMITED,33897.5555584,261.4,2025-08-01
AWL AGRI BUSINESS LIMITED,33897.5555584,261.4,2025-09-01
AWL AGRI BUSINESS LIMITED,33897.5555584,261.4,2025-10-01
FINE ORGANIC IND. LTD.,13869.039616,4498.4,2025-08-01
FINE ORGANIC IND. LTD.,13869.039616,4498.4,2025-09-26
INDIAN BANK,109548.5751296,813.3,2025-09-04
BHARAT FORGE LTD,59445.542912,1243.4,2025-10-01
BLUE DART EXPRESS LTD,13235.441664,5578.0,2025-07-29
BLUE DART EXPRESS LTD,13235.441664,5578.0,2025-09-29
THE GE SHPG.LTD,14790.6789376,1036.0,2025-09-02
THE GE SHPG.LTD,14790.6789376,1036.0,2025-10-03
NCC LIMITED,13145.2239872,209.37,2025-07-25
NCC LIMITED,13145.2239872,209.37,2025-08-28
NCC LIMITED,13145.2239872,209.37,2025-09-29
ADANI ENERGY SOLUTION LTD,112494.116864,936.45,2025-07-22
ADANI ENERGY SOLUTION LTD,112494.116864,936.45,2025-08-29
GODREJ PROPERTIES LTD,69081.6745472,2293.5,2025-07-29
GODREJ PROPERTIES LTD,69081.6745472,2293.5,2025-09-30
BOSCH LIMITED,115615.072256,39200.0,2025-08-14
BOSCH LIMITED,115615.072256,39200.0,2025-09-18
STEEL AUTHORITY OF INDIA,53676.1729024,129.95,2025-07-28
STEEL AUTHORITY OF INDIA,53676.1729024,129.95,2025-10-07
STEEL AUTHORITY OF INDIA,53676.1729024,129.95,2025-10-10
ZEE ENTERTAINMENT ENT LTD,10120.9931776,104.51,2025-09-12
ZEE ENTERTAINMENT ENT LTD,10120.9931776,104.51,2025-09-30
JBM AUTO LIMITED,15498.6512384,655.35,2025-08-04
JBM AUTO LIMITED,15498.6512384,655.35,2025-09-02
